energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1,n3_l0_m+0,n3_l1_m-1,n3_l1_m+0,n3_l1_m+1,n3_l2_m-2,n3_l2_m-1,n3_l2_m+0,n3_l2_m+1,n3_l2_m+2,n5_l2_m-2,n5_l2_m+2,n5_l4_m-4,n5_l4_m-2,n5_l4_m+2,n5_l4_m+4
5.999999999999999084e-02,1.979948985435624198e-04,1.040276464185106113e-06,8.141752214954408478e-05,7.716908534623099044e-06,1.016457621913169579e-04,6.120392082685202813e-06,1.095170610044671668e-14,3.032707383731428683e-14,7.115081563504502260e-14,1.871704133483444143e-09,6.649658363553003368e-14,1.506611940654629705e-13,5.766845188035689625e-14,1.794053440407313953e-13,1.777057452388570952e-08,1.393945947684227475e-19,7.959988912279960028e-10,6.980397447305236042e-32,1.593435959999168500e-22,3.143822553102958039e-08,2.160051467007303489e-09
6.499999999999998834e-02,1.093448835691803611e-04,2.426679563027197670e-07,3.022635931175603988e-05,4.536395187788824738e-06,6.932547689566224709e-05,4.985577016928465657e-06,8.623780701840765659e-15,2.969716327428992989e-14,3.232025995285348062e-14,1.100951276656099133e-09,6.643877644210642729e-14,1.620476624094789708e-13,8.942023022071985638e-14,1.709446724087492435e-13,6.597374212990454241e-09,8.199250638340886003e-20,4.677720312648132073e-10,6.969179189747565003e-32,1.563239029813670479e-22,1.848099931393423788e-08,1.759544414627742075e-09
6.999999999999999278e-02,7.768114332699987631e-05,1.831378906586218831e-07,9.751468985959119314e-06,3.054928871832804892e-06,6.176164831504931687e-05,2.913300906141125667e-06,7.999140305985855247e-15,2.771172898813621725e-14,1.996963908459105153e-14,7.406328840326334545e-10,4.928610348845884670e-14,1.343479624259686612e-13,6.453936002917161913e-14,1.459166141537191167e-13,2.128420548105526593e-09,5.518522525219221910e-20,3.150710703503973663e-10,5.169626761751010354e-32,1.157212319342172508e-22,1.244560081139673852e-08,1.028182274390464629e-09
7.499999999999998335e-02,7.165213689986883955e-05,1.788401642610234644e-07,5.684049725215148044e-06,2.056886577388065248e-06,6.143915170734486671e-05,2.282075411358000580e-06,3.818684530909389318e-15,3.472450442707361724e-14,3.007768651519592829e-14,4.933337822650485882e-10,3.470731828963935135e-14,9.988543685631058789e-14,3.585656534857839025e-14,1.168747442286698141e-13,1.240628549783235913e-09,3.707541123172047037e-20,2.139203083888846119e-10,3.641090582282223267e-32,8.149840796107805774e-23,8.379669908745790795e-09,8.054058075766896730e-10
7.999999999999998779e-02,7.103151844216616900e-05,1.429239273494927719e-07,9.281453511177951897e-06,1.233666338001501802e-06,5.683368300698601384e-05,3.531072384589170435e-06,1.690613610483148549e-13,4.608456684959503107e-14,5.043678876004399468e-14,2.867483250407749904e-10,2.279755535383824501e-14,5.676630472733364560e-14,4.018586902875867148e-14,7.963177064097596029e-14,2.025795129297522855e-09,2.219621245787206921e-20,1.340952178738287193e-10,2.391207613691261314e-32,5.338617744377228109e-23,5.025959898701892490e-09,1.246210526864267966e-09
8.499999999999997835e-02,6.645584794598770361e-05,1.014358166277653962e-07,1.638550351571776070e-05,5.981788962783857879e-07,4.492777031494744791e-05,4.435115560989114055e-06,3.185323883663471115e-12,1.012559581656609596e-12,1.634322448412616320e-13,2.194880937801485064e-10,9.890077142251126306e-15,2.214147709013026139e-14,4.166674995539565886e-13,4.469633265068316991e-14,3.576285298917928659e-09,1.073764239486177693e-20,4.122597545960903183e-11,1.037492352027972962e-32,2.321925389666325229e-23,2.436715638272055118e-09,1.565271709682104855e-09
8.999999999999998279e-02,5.759222879141840095e-05,7.104063810384773926e-08,2.503327634965504887e-05,2.036019887536605169e-07,2.930189878838737361e-05,2.974558831888052764e-06,1.576879202190187646e-11,8.677036649332820308e-12,1.016505563803250056e-12,3.413501986246304862e-10,5.984382298010094430e-15,1.454220859482777071e-14,1.994392839122851994e-12,2.917147555757370019e-14,5.464093074366490127e-09,3.789193181595456185e-21,1.401135136016651215e-10,6.277460195321175752e-33,1.394145023102852837e-23,8.293294943023822311e-10,1.049801924385518157e-09
9.499999999999998723e-02,4.922161889640844836e-05,5.167109606834133540e-08,3.336992398524499042e-05,4.781697214815944457e-08,1.523341955532645965e-05,5.098219262380851792e-07,3.211895323981146416e-11,2.732594548780493735e-11,3.110527779472429462e-12,8.961453338371556510e-10,1.565898046301567030e-14,2.226209647124302473e-14,3.402540614578072488e-12,1.227118822582465204e-13,7.287879498810176076e-09,1.438526096309382412e-21,3.402158128721523820e-10,1.641975952857435332e-32,3.607802819111376507e-23,1.950721830629414958e-10,1.799299537495732460e-10
9.999999999999997780e-02,4.586257268493969486e-05,3.890248299076037103e-08,3.922579835963945676e-05,7.644690387495040054e-08,5.824272382388688443e-06,6.862172345964901685e-07,2.975865189478610259e-11,3.952880421813026033e-11,4.481383464346195652e-12,1.273062557391605854e-09,5.900862220344990447e-14,2.014555702485823426e-14,1.390265973942755328e-12,2.090202519775549428e-12,8.552397490921681596e-09,2.461232024686512427e-21,4.777803129879710845e-10,6.187114056067396593e-32,1.358270554027016736e-22,3.125679833616694378e-10,2.421846424400567919e-10
1.049999999999999822e-01,4.704974569028207452e-05,3.101573362433459388e-08,4.104553854646692706e-05,2.129697689915849292e-07,1.244235057861944425e-06,4.502767744723677205e-06,1.143096802164529651e-11,2.789061759988433808e-11,3.168165802752546299e-12,1.478478329157177455e-09,1.221751220498893031e-14,2.069047288363472534e-14,5.722628637955646304e-13,1.153677383017927923e-11,8.939656429429573087e-09,4.458842251978167178e-21,2.919523626707228802e-10,1.281491770110981979e-32,2.831249177302844230e-23,8.649717650804415220e-10,1.589148031157442554e-09
