energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
8.499999999999997835e-02,3.642221227094968872e-03,2.752295561549777605e-05,8.696240845715855683e-04,2.775516248839804631e-05,2.616459777348002606e-03,1.008592470714848985e-04
8.999999999999998279e-02,2.759680920548735795e-03,1.939029588151701988e-05,6.388147571199319884e-04,1.660423116062702265e-05,2.017887338730020054e-03,6.698429765663967334e-05
9.499999999999998723e-02,1.751178678495512531e-03,1.433947379469376838e-05,4.576954371977002851e-04,2.311125924413299951e-05,1.226909621194026325e-03,2.912288706495908859e-05
9.999999999999997780e-02,1.185243497329253621e-03,9.055672511908727744e-06,2.956078634894336327e-04,4.375479541588546528e-06,8.710233428074322468e-04,5.181138978890374753e-06
1.049999999999999822e-01,7.814174225031561213e-04,7.254918326662558885e-06,2.332854965349293161e-04,1.071359869625821941e-05,5.147999998315170873e-04,1.536340911378887531e-05
1.099999999999999728e-01,4.743112390857359565e-04,4.258510689515880433e-06,1.015247980689587906e-04,3.780558277626329211e-06,2.915134018346923371e-04,7.323397021494261494e-05
1.149999999999999772e-01,4.475882585732402505e-04,3.017157051847712952e-06,9.870589019882297882e-05,2.738708366610223492e-06,1.653079019542368110e-04,1.778186010017225344e-04
1.199999999999999817e-01,4.197694410437477052e-04,1.697846391220259388e-06,3.067954827041663847e-05,1.853516612907114088e-06,7.689819367821400481e-05,3.086403360909896736e-04
1.249999999999999722e-01,4.837904131161533750e-04,1.031312467904975074e-06,2.661630397834258952e-05,1.460725506123469698e-06,2.902568301013168205e-05,4.256563881536506652e-04
1.299999999999999767e-01,5.071387223248132120e-04,4.663315775889237149e-07,1.202544807730828347e-05,8.077684239618516082e-08,1.498175998374335068e-05,4.795844058437764672e-04
1.349999999999999811e-01,4.414066861006572806e-04,3.457095910979511964e-07,3.147132082921308869e-06,1.522874770618637947e-06,4.884423349425993282e-06,4.315065463065933995e-04
1.399999999999999856e-01,2.878762305098328533e-04,1.479324811270365210e-07,4.243954449195927807e-06,5.827576984186065669e-07,1.581544248014762954e-06,2.813200416330765403e-04
1.449999999999999900e-01,1.025414686692425001e-04,2.048823665701893593e-07,6.020036181265390056e-07,1.114045805049677506e-06,8.521486940648463138e-06,9.209904993884762670e-05
1.499999999999999944e-01,1.110484859935457961e-05,9.405423630234032281e-08,4.639061385316504428e-07,9.740998247993006464e-07,5.049397305934998333e-06,4.523391093786290046e-06
1.549999999999999989e-01,2.268852614996438183e-04,1.175023366282207162e-07,9.417594209339378898e-07,1.226968677602077848e-06,4.939503448373059257e-06,2.196595276161065178e-04
1.599999999999999756e-01,9.601694959695230213e-04,1.494104508567418014e-07,1.429553197979757070e-06,4.541507477768029410e-07,1.070627349492528871e-05,9.474301080779844696e-04
1.649999999999999800e-01,2.326673982608441684e-03,3.016604273474984196e-07,9.841812869126501763e-07,1.643024946204141769e-06,4.029043545878870984e-06,2.319716072402098518e-03
