energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
7.499999999999998335e-02,6.206817865793695854e-12,3.438150296372947933e-12,6.184567737988338274e-16,1.850984435279932661e-16,9.244098789352054987e-17,2.767771573215527596e-12
7.999999999999998779e-02,5.844497597798246567e-12,3.039672933580194834e-12,4.151385612767504111e-16,1.290813270179660279e-16,6.457419863037909503e-17,2.804215870131126039e-12
8.499999999999997835e-02,5.763049898470946246e-12,2.880558735960100371e-12,4.151907680705173784e-17,2.814327598458896097e-18,1.388896169560512435e-18,2.882445440210270901e-12
8.999999999999998279e-02,5.720928130682680793e-12,2.806168161908697630e-12,1.173759710185886216e-15,1.551977368459968393e-16,7.725189464714030039e-17,2.913353759432304219e-12
9.499999999999998723e-02,5.494156498739183367e-12,2.714502661244449808e-12,1.793133925646587567e-15,1.245974944492775165e-16,6.243174390332130938e-17,2.777673674330734466e-12
9.999999999999997780e-02,6.517098957192396382e-12,2.934633775602267604e-12,3.386765734948711406e-15,7.635084886869111993e-19,3.975909900979421916e-19,3.579077254755701418e-12
1.049999999999999822e-01,6.501143342267080454e-12,3.135154451134719507e-12,2.799477588554495541e-15,1.261288484401310984e-16,6.300626707376890653e-17,3.363000278428292726e-12
1.099999999999999728e-01,6.307863353397715107e-12,3.113963039924916647e-12,1.023684754476710729e-15,1.013592163123457012e-16,5.018689736165692025e-17,3.192725082604648462e-12
1.149999999999999772e-01,7.244927590911238450e-12,3.304349717283207421e-12,3.144918874587498359e-16,1.884298816038898547e-18,8.125985425330535577e-19,3.940260684843214222e-12
1.199999999999999817e-01,7.522995768753308252e-12,3.495595660908913335e-12,3.945832227874196030e-16,1.320044963694766368e-16,6.689241771288503298e-17,4.026806627707524062e-12
1.249999999999999722e-01,7.889793152072723824e-12,3.565221241006378971e-12,3.339301079977635547e-16,1.074454766722834071e-16,5.339603953573064424e-17,4.324077139442139554e-12
1.299999999999999767e-01,8.731968036818337824e-12,4.071671122986352795e-12,4.132098851239187174e-17,6.680841286410375633e-19,2.979381374710435427e-19,4.660254626821206850e-12
1.349999999999999811e-01,9.762171956970561062e-12,4.717698605583722359e-12,3.542630577392704400e-16,1.120604007088563752e-16,5.595213557203411578e-17,5.043951075792818634e-12
1.399999999999999856e-01,1.062120362554889946e-11,5.169396863625158263e-12,2.784496417716003368e-16,9.163024943189264989e-17,4.583470068324415971e-17,5.451390847331854965e-12
1.449999999999999900e-01,1.187113330143503721e-11,5.990632619824599288e-12,9.521691050737475487e-18,1.958155778488474125e-18,9.689171203382164854e-19,5.880488232846488174e-12
1.499999999999999944e-01,1.310750440682902962e-11,6.740236734133241318e-12,2.837374037771041028e-16,9.792159399646171041e-17,4.886202676230949931e-17,6.366837151671251715e-12
1.549999999999999989e-01,1.386452160013693120e-11,6.960518037796715491e-12,2.054528230830273738e-16,6.082995867915250262e-17,3.042003902364762879e-17,6.903706859519429631e-12
1.599999999999999756e-01,1.494043166512586116e-11,7.502526558795139599e-12,6.503864200165547956e-18,7.291842669631159420e-18,3.626707807545897535e-18,7.437887683916045927e-12
1.649999999999999800e-01,1.602850293608309201e-11,8.051218784944323923e-12,1.087096148068935959e-16,4.228528320148601609e-17,2.113849675088164459e-17,7.977112017744010927e-12
1.699999999999999845e-01,1.665454332230645450e-11,8.081133901752926327e-12,2.130309495619794446e-16,9.890356660529860175e-17,4.937550408482779862e-17,8.573048110533276946e-12
1.749999999999999889e-01,1.789689177804472330e-11,8.685418797829516520e-12,2.681879438509947688e-17,8.318620752889172307e-18,4.191648254988161677e-18,9.211433651151813608e-12
1.799999999999999933e-01,1.931928138665863942e-11,9.489404773944275872e-12,2.279030768226488767e-16,7.293132395634189546e-17,3.630661387206444578e-17,9.829539471699710751e-12
1.809999999999999942e-01,1.957221708007773655e-11,9.606163675048436146e-12,1.062929685181850686e-16,2.646788887064685194e-17,1.315688015825588087e-17,9.965907487291754509e-12
1.819999999999999951e-01,1.966424584718173100e-11,9.578430487092301628e-12,2.723448624149926605e-17,2.193213013230980617e-18,1.096522638168590128e-18,1.008578483586753587e-11
1.829999999999999960e-01,1.969974279562530733e-11,9.503955578357073031e-12,4.510409555270299754e-17,1.432261644953237707e-17,7.177570629915734475e-18,1.019572061298560394e-11
1.839999999999999969e-01,1.982670798170592867e-11,9.516097420146981369e-12,1.516648569801054076e-16,5.391179209760950461e-17,2.692016907438592946e-17,1.031037806474079596e-11
1.849999999999999978e-01,2.013513259735870804e-11,9.694239193666519218e-12,2.781837593734103266e-16,9.500179306918398700e-17,4.739025397168486757e-17,1.044047282788577371e-11
1.859999999999999987e-01,2.059342490967876251e-11,1.000825189656206630e-11,3.388922043566437175e-16,1.113075831771356639e-16,5.550769530933027384e-17,1.058466730563385448e-11
1.869999999999999996e-01,2.106775350221672789e-11,1.033563257224753382e-11,2.892635084067404398e-16,9.270442379107966035e-17,4.624004346047746471e-17,1.073169272199353638e-11
1.880000000000000004e-01,2.141203657745120490e-11,1.054176097890242918e-11,1.611435149365887470e-16,5.122537468394808299e-17,2.557663571129106281e-17,1.087003765302344152e-11
1.890000000000000013e-01,2.156701007653116609e-11,1.057058214076884895e-11,5.046917109703578295e-17,1.309911287636851069e-17,6.566103256143485039e-18,1.099635780137508937e-11
1.900000000000000022e-01,2.159998808198841161e-11,1.048443355420538544e-11,6.378475398302032123e-17,2.082607694328959314e-18,1.029638151716963150e-18,1.111548763078319748e-11
1.910000000000000031e-01,2.165767201706980867e-11,1.042458046072002714e-11,2.567974225828785376e-16,2.459241169676525047e-17,1.216650205978962895e-17,1.123279800001344089e-11
1.920000000000000040e-01,2.186451426231462807e-11,1.051714701643477394e-11,6.035299763940111650e-16,6.584162538848264281e-17,3.262761405962949327e-17,1.134666524666401355e-11
1.930000000000000049e-01,2.223698588051235885e-11,1.078691956899305842e-11,1.014656199873461877e-15,9.928809043564651789e-17,4.921045405317395771e-17,1.144890315677493881e-11
1.940000000000000058e-01,2.267342904510752850e-11,1.113777875874759523e-11,1.391996859836117610e-15,1.034491703166320522e-16,5.122846008744777284e-17,1.153410361186969116e-11
1.950000000000000067e-01,2.302732006922918265e-11,1.141472210062522056e-11,1.684197597711880222e-15,7.555116367495620689e-17,3.731686034543185514e-17,1.161080090298222792e-11
1.960000000000000075e-01,2.321426706379272872e-11,1.150737961492349537e-11,1.910376370317748396e-15,3.337830614661775328e-17,1.636530657762133790e-17,1.170492732888619060e-11
1.970000000000000084e-01,2.327910092651056081e-11,1.142581451565419633e-11,2.141416018991240491e-15,4.001629758507788663e-18,1.901403406669936383e-18,1.185113909180420868e-11
1.980000000000000093e-01,2.337522230901914356e-11,1.129664435803974228e-11,2.455833909004316329e-15,6.382153536494043030e-18,3.398995625396877343e-18,1.207611233592123580e-11
1.989999999999999825e-01,2.366663814183149488e-11,1.128040458132398207e-11,2.900225874232649111e-15,3.894599470544030247e-17,2.005110917801624986e-17,1.238327433752939448e-11
1.999999999999999833e-01,2.421508078540317217e-11,1.146441777688249835e-11,3.475809367093665327e-15,8.032920072319897008e-17,4.112016499674290227e-17,1.274706574978785937e-11
2.009999999999999842e-01,2.492597800475891510e-11,1.180304034421325563e-11,4.150850204063573939e-15,1.031450537250357082e-16,5.281618693912334471e-17,1.311863084910093252e-11
2.019999999999999851e-01,2.559043628472010207e-11,1.214644230794718560e-11,4.880703009835106040e-15,9.203745900943546091e-17,4.734848358135384924e-17,1.343897388782048913e-11
2.029999999999999860e-01,2.599961820652729838e-11,1.233999725196856824e-11,5.615732495529552649e-15,5.413127694149140529e-17,2.819686700481851696e-17,1.365392289391925365e-11
