# time,norm,ground_population
2.920803784018208376e+02,8.919588793320398779e-01,8.919385700993797128e-01
2.952900528897529284e+02,8.919557461445362101e-01,8.919385701269728628e-01
2.984997273776850193e+02,8.919531710924828438e-01,8.919385701944800848e-01
3.017094018656171102e+02,8.919510107970803903e-01,8.919385700431745612e-01
3.049190763535492010e+02,8.919491207187943971e-01,8.919385702105795399e-01
3.081287508414812919e+02,8.919474118075645386e-01,8.919385700152867580e-01
3.113384253294133828e+02,8.919458734632045305e-01,8.919385702046348507e-01
3.145480998173454736e+02,8.919445405124055704e-01,8.919385700173498854e-01
3.177577743052776214e+02,8.919434312806282517e-01,8.919385701629587437e-01
3.209674487932097122e+02,8.919425180186670854e-01,8.919385700186392985e-01
3.213274122871833924e+02,8.919424257061027150e-01,8.919385700500344072e-01
