3D 1800/10176, inner norm=0.99853484, Pg=0.99651775, wall=21.4s
3D 2000/10176, inner norm=0.99735206, Pg=0.99444551, wall=79.0s
3D 2200/10176, inner norm=0.99555745, Pg=0.99136741, wall=136.6s
3D 2400/10176, inner norm=0.99298374, Pg=0.98726597, wall=194.9s
3D 2600/10176, inner norm=0.98946329, Pg=0.98224367, wall=253.3s
3D 2800/10176, inner norm=0.98483986, Pg=0.97551020, wall=313.5s
3D 3000/10176, inner norm=0.97898096, Pg=0.96770460, wall=381.4s
3D 3200/10176, inner norm=0.97178982, Pg=0.95867055, wall=454.8s
3D 3222/10176, inner norm=0.97091479, Pg=0.95738942, wall=462.0s
