ground E=-2.8972353188, residual=8.848e-10; (88, 88, 6), flux=0.200GiB
3D 200/10176, inner norm=1.00000000, Pg=0.99999993, wall=57.7s
3D 400/10176, inner norm=1.00000000, Pg=0.99999797, wall=125.8s
3D 600/10176, inner norm=0.99999948, Pg=0.99998330, wall=191.2s
3D 800/10176, inner norm=0.99999335, Pg=0.99993180, wall=255.0s
3D 1000/10176, inner norm=0.99996456, Pg=0.99979923, wall=324.6s
3D 1200/10176, inner norm=0.99987732, Pg=0.99949358, wall=399.7s
3D 1400/10176, inner norm=0.99967200, Pg=0.99895885, wall=475.5s
3D 1600/10176, inner norm=0.99926227, Pg=0.99802859, wall=557.9s
3D 1726/10176, inner norm=0.99884925, Pg=0.99714464, wall=608.2s
