energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
7.499999999999998335e-02,2.998240733759474836e-04,3.302874248628987224e-07,2.430208969621125225e-05,6.975580743745328233e-05,1.356800813810577649e-04,6.975580743636230390e-05
7.999999999999998779e-02,2.314657823012057018e-04,1.237273047424810901e-06,4.741025505265612094e-05,5.803245289367722797e-05,6.675334841474840327e-05,5.803245289269912853e-05
8.499999999999997835e-02,2.007507634324791812e-04,3.313741607138367893e-06,6.983935145527469341e-05,4.213549177930535025e-05,4.332668681229464355e-05,4.213549177846612355e-05
8.999999999999998279e-02,2.033322507086052677e-04,3.871500059996844714e-06,1.034993536740602866e-04,2.806463591388622000e-05,3.983212514769437986e-05,2.806463591296754162e-05
9.499999999999998723e-02,1.899352789897724362e-04,2.018247517348729290e-06,1.357348660049507321e-04,1.534365989729142830e-05,2.149484567393166381e-05,1.534365989624988271e-05
9.999999999999997780e-02,1.675126786112441615e-04,1.636477812499379660e-07,1.496600080018357394e-04,5.861514592176282919e-06,5.965993644657761270e-06,5.861514591324429507e-06
1.049999999999999822e-01,1.545438053812435897e-04,1.608198454390011044e-06,1.499212396045548554e-04,9.839376702157417004e-07,1.046491982250634494e-06,9.839376698323311780e-07
1.099999999999999728e-01,1.483298797451812132e-04,5.782914898441490280e-06,1.396991601734201463e-04,2.153334835827054552e-07,2.417137706271227885e-06,2.153334834656672865e-07
1.149999999999999772e-01,1.408196421127059237e-04,7.728115164210004156e-06,1.186658206521389530e-04,2.752213652141694277e-06,8.921278992665597279e-06,2.752213651549674575e-06
1.199999999999999817e-01,1.286830937621793775e-04,4.429116790455907649e-06,9.238335811017817545e-05,7.365578908401537218e-06,1.713946104660588808e-05,7.365578906537871611e-06
1.249999999999999722e-01,1.170784777033762384e-04,4.030253390937667156e-07,6.611339874402284884e-05,1.273567001470349279e-05,2.509071359412382620e-05,1.273567001143231254e-05
1.299999999999999767e-01,1.148107903898905883e-04,3.775856166311363540e-06,4.211106282910277097e-05,1.792827624352667180e-05,3.306731891133798463e-05,1.792827623961178716e-05
1.349999999999999811e-01,1.202695213257945961e-04,1.460551538843372289e-05,2.295823943139282280e-05,2.205653681707502140e-05,3.859269287520100634e-05,2.205653681369202263e-05
1.399999999999999856e-01,1.201373963726893283e-04,2.049897119943905951e-05,1.044162461020705405e-05,2.446945802254817142e-05,4.025788451994542414e-05,2.446945802054961412e-05
1.449999999999999900e-01,1.063637301467962933e-04,1.189791866760754634e-05,4.585557267853207685e-06,2.508798876549351865e-05,3.970427668092212878e-05,2.508798876491989438e-05
1.499999999999999944e-01,9.109035296404652368e-05,8.463868064899059151e-07,4.895770875231465420e-06,2.407631333990239628e-05,3.719556860245621483e-05,2.407631333996654039e-05
1.549999999999999989e-01,9.675758565112765951e-05,1.094288404583432440e-05,1.027413134930354667e-05,2.165364087830344355e-05,3.223328849975619045e-05,2.165364087793014936e-05
1.599999999999999756e-01,1.236850885005574743e-04,4.212567528138707641e-05,1.902695468706416164e-05,1.822269339930552936e-05,2.608707173489581424e-05,1.822269339790489939e-05
1.649999999999999800e-01,1.372679423186849408e-04,5.923616099771784296e-05,2.957844742556147864e-05,1.427490339766732458e-05,1.990352710223135810e-05,1.427490339550694672e-05
1.699999999999999845e-01,1.094883658817465236e-04,3.484213403185952075e-05,4.033171413042547295e-05,1.025900383024606823e-05,1.379651006105358916e-05,1.025900382816186235e-05
1.749999999999999889e-01,7.337511120294955324e-05,2.177716044720114051e-06,4.970225963428469968e-05,6.592475793974134212e-06,8.310183937233947256e-06,6.592475792736652958e-06
1.799999999999999933e-01,1.019708309384542212e-04,3.387450076600421935e-05,5.670911915251061405e-05,3.605068401599487195e-06,4.177074216936407478e-06,3.605068401403475301e-06
1.809999999999999942e-01,1.184810426587917071e-04,5.095505846298416475e-05,5.778026573599934603e-05,3.107337916917888300e-06,3.531042625998067907e-06,3.107337916892227013e-06
1.819999999999999951e-01,1.378039466384603365e-04,7.083681178465528201e-05,5.873335009614803022e-05,2.645212602667248798e-06,2.943359552200913968e-06,2.645212602788845036e-06
1.829999999999999960e-01,1.591201961675003289e-04,9.270309204150343021e-05,5.956504166627117158e-05,2.219411000668789231e-06,2.413240458145325068e-06,2.219411000911589531e-06
1.839999999999999969e-01,1.814027960558265318e-04,1.155292052927793154e-04,6.027222511055745459e-05,1.830539890093999644e-06,1.940285871965736961e-06,1.830539890430004273e-06
1.849999999999999978e-01,2.034639752280252881e-04,1.381290921014076824e-04,6.085218750949846725e-05,1.479096803773098088e-06,1.524502009172708490e-06,1.479096804173344449e-06
1.859999999999999987e-01,2.240177257138587646e-04,1.592177693889379941e-04,6.130281810389317295e-05,1.165463193207733028e-06,1.166211834176534260e-06,1.165463193643331156e-06
1.869999999999999996e-01,2.417555972095081023e-04,1.774871398336046462e-04,6.162279007731786022e-05,8.898907085462674399e-07,8.658858810499757583e-07,8.898907089893564098e-07
1.880000000000000004e-01,2.554322293756257963e-04,1.916916312324371614e-04,6.181169823638579190e-05,6.524839806682492943e-07,6.239319450417206248e-07,6.524839810929147682e-07
1.890000000000000013e-01,2.639561106158597658e-04,2.007391237047553866e-04,6.187013421743203833e-05,4.531836239685501458e-07,4.404854453521776014e-07,4.531836243515889265e-07
1.900000000000000022e-01,2.664802457703033430e-04,2.037818112206617909e-04,6.179969066911731202e-05,2.917529134587248083e-07,3.152380532851652228e-07,2.917529137803143663e-07
