# time,norm,ground_population
2.503546100587035710e+02,9.038936673087469842e-01,8.916040803060534259e-01
2.535642845466356619e+02,9.020788327702986553e-01,8.916040779665880267e-01
2.567739590345677811e+02,9.004476855763685617e-01,8.916040810945383699e-01
2.599836335224998720e+02,8.989950552649308424e-01,8.916040772434309369e-01
2.631933080104319629e+02,8.977139751989785532e-01,8.916040815636194772e-01
2.664029824983640538e+02,8.965958651655038247e-01,8.916040769658122311e-01
2.696126569862961446e+02,8.956307744520985992e-01,8.916040815564474364e-01
2.728223314742282355e+02,8.948076801552944382e-01,8.916040771470470361e-01
2.760320059621603264e+02,8.941147317298173691e-01,8.916040810767286162e-01
2.792416804500924172e+02,8.935395195979823901e-01,8.916040777605693801e-01
2.824513549380245081e+02,8.930693617427947206e-01,8.916040802983247193e-01
2.856610294259566558e+02,8.926915734167759631e-01,8.916040785820892323e-01
2.888707039138887467e+02,8.923937082790416309e-01,8.916040793685581223e-01
2.920803784018208376e+02,8.921637855366619796e-01,8.916040794101487421e-01
2.952900528897529284e+02,8.919905086705942621e-01,8.916040785744091535e-01
2.984997273776850193e+02,8.918634336806217089e-01,8.916040800664707389e-01
3.017094018656171102e+02,8.917731120881290385e-01,8.916040780225097384e-01
3.049190763535492010e+02,8.917111931920951307e-01,8.916040803769818002e-01
3.081287508414812919e+02,8.916704838352125240e-01,8.916040778075098316e-01
3.113384253294133828e+02,8.916449738013452198e-01,8.916040804039438994e-01
3.145480998173454736e+02,8.916298578109673745e-01,8.916040778869070982e-01
3.177577743052776214e+02,8.916213703162065851e-01,8.916040801535691784e-01
3.209674487932097122e+02,8.916167390753673150e-01,8.916040781411779248e-01
3.213274122871833924e+02,8.916163725703609710e-01,8.916040789603111305e-01
