energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1,n3_l0_m+0,n3_l1_m-1,n3_l1_m+0,n3_l1_m+1,n3_l2_m-2,n3_l2_m-1,n3_l2_m+0,n3_l2_m+1,n3_l2_m+2,n5_l2_m-2,n5_l2_m+2,n5_l4_m-4,n5_l4_m-2,n5_l4_m+2,n5_l4_m+4
5.999999999999999084e-02,1.979643179917666980e-04,1.040276435944420329e-06,8.141752222068959397e-05,7.590445534211125076e-06,1.016457621904490541e-04,6.222361160388564989e-06,9.879225766678035900e-15,1.509230333744811439e-09,7.115082688048180576e-14,3.047807172346354739e-14,1.777056766775691359e-08,1.872731913425076844e-13,5.957234076343850610e-14,1.425286163441825083e-13,5.832528196039137583e-14,6.416900442847418644e-10,1.124978501638162772e-19,2.678872804816534089e-09,2.534953002571246043e-08,1.383566736391522139e-22,6.114379196343855536e-32
6.499999999999998834e-02,1.093557714807527614e-04,2.426679496951180247e-07,3.022635934954667910e-05,4.462053635240306284e-06,6.932547689477526129e-05,5.068639534562094135e-06,8.382012613032769659e-15,1.229397042116273108e-09,3.232025028311975604e-14,3.015729484503839989e-14,6.597347706035378854e-09,1.791792658750074188e-13,8.825707263673827247e-14,1.531662236076258525e-13,5.885653684614285342e-14,5.227104448057636866e-10,9.158330138795599851e-20,1.574778860893548315e-09,2.064933256068324385e-08,1.398394007039808498e-22,6.177559638843235239e-32
6.999999999999999278e-02,7.767923977702295680e-05,1.831378925363953537e-07,9.751469100990167830e-06,3.004866743289613248e-06,6.176164831637418482e-05,2.961838185615819301e-06,8.065458164527986900e-15,7.183979091198007460e-10,1.996965961558685693e-14,2.771926511661557271e-14,2.128403019448936435e-09,1.507513814955754830e-13,6.300518656034892578e-14,1.280529683561570575e-13,4.377050478751736471e-14,3.054460432911460037e-10,5.334625168306714176e-20,1.060498314813361221e-09,1.206635159561162973e-08,1.032893253345303454e-22,4.593752864047191055e-32
7.499999999999998335e-02,7.165752184146440397e-05,1.788401682414000019e-07,5.684049676729908105e-06,2.023175246515939364e-06,6.143915170701654319e-05,2.320096039727707347e-06,3.789214254249602295e-15,5.627484941772035083e-10,3.007770701821056285e-14,7.274339005194504829e-14,1.240628613786344701e-09,1.208180887537558125e-13,3.706787996602336002e-14,9.596015765936444526e-14,3.075560522256273663e-14,2.392683015109415153e-10,4.185900329909875235e-20,7.140329764185695466e-10,9.451933634922962821e-09,7.221721454926671515e-23,3.223613309346419944e-32
7.999999999999998779e-02,7.107969624477089078e-05,1.429239313034283025e-07,9.281453148490388742e-06,1.213412970838933338e-06,5.683368300714241000e-05,3.589901902349931805e-06,1.689925776841627095e-13,8.707433602406633497e-10,5.043675287315357882e-14,8.013298239796808725e-13,2.025813744075898316e-09,8.078692677726032083e-14,4.035575561678042045e-14,5.508221751050795421e-14,2.072486543053660399e-14,3.702184655771224413e-10,6.465445183348521824e-20,4.282461175111806051e-10,1.462504524943087555e-08,5.069695451480036026e-23,2.176175208196548105e-32
8.499999999999997835e-02,6.653607756009476831e-05,1.014358198940034002e-07,1.638550340219026681e-05,5.885902601048106875e-07,4.492777031629394569e-05,4.509006969883060353e-06,3.185371526599227556e-12,1.094231417819619085e-09,1.634322862107793134e-13,5.400270960736541125e-11,3.576375764737046381e-09,4.408633127651183615e-14,4.140333500015673407e-13,2.187738711904700951e-14,9.870407619159939479e-15,4.651907186443960690e-10,8.211467390845665198e-20,2.077294260421695459e-10,1.836942302045573624e-08,2.648060006018190455e-23,1.038533917333352187e-32
8.999999999999998279e-02,5.764973891195369459e-05,7.104064022064016976e-08,2.503327578871134880e-05,1.999938080352430316e-07,2.930189878875445058e-05,3.024116684411308550e-06,1.576871667778631021e-11,7.385240878389568081e-10,1.016505662552105510e-12,4.877537672563480337e-10,5.463878029461547265e-09,2.888390062412309878e-14,1.991197563157952347e-12,1.465302634109315025e-14,6.968032071877202764e-15,3.135662759036055720e-10,6.345823742823420611e-20,7.058334216592558762e-11,1.232006939315245935e-08,1.907772059693859160e-23,7.317855698907098928e-33
9.499999999999998723e-02,4.923153751335498257e-05,5.167109684223829485e-08,3.336995617435047036e-05,4.692337473819712416e-08,1.523341955521982497e-05,5.183159799287361808e-07,3.211889704866262616e-11,1.415756938284755693e-10,3.110527582146071360e-12,1.599647940873327651e-09,7.283480379016073000e-09,2.777503688839207898e-14,3.401981751551622617e-12,1.317302333734078647e-13,8.730166691403671959e-13,5.881516652479748707e-11,4.371389301490258750e-20,1.656072188571354273e-11,2.111588445025735807e-09,2.010512298474996747e-21,9.156129757035094737e-31
9.999999999999997780e-02,4.587615992926405857e-05,3.890248289554130785e-08,3.922551996748477055e-05,7.563885040680238776e-08,5.824272382506326073e-06,6.976501173505139906e-07,2.975875529659371994e-11,1.921594868343573471e-10,4.481383266141402840e-12,2.418013466714158562e-09,8.561543743862472206e-09,2.070067165848672978e-14,1.389441093825522852e-12,2.406121915338226060e-12,1.777310793708080200e-11,7.970241171924284439e-11,1.567456304806881250e-19,2.669522239385215821e-11,2.842184778215567514e-09,4.087575826091512354e-20,1.863318983017317188e-29
1.049999999999999822e-01,4.713999245727750343e-05,3.101573355329164434e-08,4.104646197208134360e-05,2.092969875039382059e-07,1.244235057867747236e-06,4.577786449213536902e-06,1.143106693052577240e-11,1.126517290781477931e-09,3.168166059480578687e-12,1.787723641824787302e-09,8.958989802448502005e-09,1.864213966877978176e-14,5.725475564944240170e-13,1.330092399296327684e-11,9.347970808322265050e-11,4.775588607563456642e-10,6.396848881822365843e-19,7.386678290792305910e-11,1.864962962331495506e-08,2.149826513668290417e-19,9.802195056273304202e-29
