energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
6.999999999999999278e-02,9.627034004958831548e-03,1.063865442745623712e-04,1.983774810304564113e-03,8.203486799694993128e-05,7.365508872226899859e-03,8.932891015585404048e-05
7.499999999999998335e-02,7.343767666645409191e-03,6.713714680208900348e-05,1.514538701866450111e-03,5.567012179946341933e-05,5.594485910575965060e-03,1.119357856014410420e-04
7.999999999999998779e-02,5.294965027037084812e-03,4.304594942479178813e-05,1.148402447022827365e-03,4.670249340592532355e-05,3.940031578846111757e-03,1.167825583374286941e-04
8.499999999999997835e-02,3.649292541157608035e-03,2.821800629720632044e-05,8.785073331349428595e-04,4.177209521320883061e-05,2.600347262055326038e-03,1.004478444569241691e-04
8.999999999999998279e-02,2.465555703806791843e-03,1.896996009546677301e-05,6.774098101128615780e-04,3.514378156032012311e-05,1.666877347913854612e-03,6.715480412428861425e-05
9.499999999999998723e-02,1.671377745132259429e-03,1.304469125839477248e-05,5.141290463075594546e-04,2.600491707718278616e-05,1.088853785594733666e-03,2.934530489438873246e-05
9.999999999999997780e-02,1.137449649233378008e-03,9.085290432980252688e-06,3.700577994331949601e-04,1.613568602441247928e-05,7.365493743037622183e-04,5.621499039028184062e-06
1.049999999999999822e-01,7.652571936227802255e-04,6.292323855930364592e-06,2.434215787752755757e-04,8.036030075002042780e-06,4.917297064555609283e-04,1.577755446101125137e-05
1.099999999999999728e-01,5.203661042784689687e-04,4.226607318058725620e-06,1.419460627863431269e-04,3.265032345824782230e-06,2.975248432157616657e-04,7.340355861248066909e-05
1.149999999999999772e-01,4.033445921348191294e-04,2.687602867003531097e-06,7.175061160600669367e-05,1.585230592213374049e-06,1.495027374520268865e-04,1.778184096175686483e-04
1.199999999999999817e-01,3.997755234173415331e-04,1.603816334253069900e-06,3.113886218388214910e-05,1.480776396672113872e-06,5.712355208312152346e-05,3.084285164194126806e-04
1.249999999999999722e-01,4.550971468380261235e-04,9.258044183003124913e-07,1.187985234223082800e-05,1.502877859892671596e-06,1.550584860390749592e-05,4.252827636136948170e-04
1.299999999999999767e-01,4.895583388577249380e-04,5.619553886857928503e-07,4.373406898816319276e-06,1.173602251525273811e-06,4.445154261061426209e-06,4.790042200576361182e-04
1.349999999999999811e-01,4.375608237104326856e-04,3.935605997088928724e-07,1.745642898957435046e-06,7.902895071409272536e-07,3.635444600801764924e-06,4.309958861038236605e-04
1.399999999999999856e-01,2.864185273949244794e-04,3.073787722662441432e-07,7.281790415039609545e-07,6.506445336632605075e-07,4.041291951544341365e-06,2.806910330959466781e-04
1.449999999999999900e-01,9.918503135353555142e-05,3.634941870086565467e-07,3.109033837377991030e-07,5.662007372497117726e-07,6.069470178160191827e-06,9.187496286737919344e-05
1.499999999999999944e-01,1.997829401403744849e-05,2.976687001381942596e-07,2.981928348580113500e-07,6.089416453015782295e-07,1.431269413752711496e-05,4.460796696212549796e-06
1.549999999999999989e-01,2.397136391034888675e-04,2.479047571925213649e-07,4.812445526562222407e-07,9.775422861267108726e-07,1.882565352722668942e-05,2.191812939802867161e-04
1.599999999999999756e-01,9.719856712964882036e-04,2.917128736856090102e-07,1.112195951981460407e-06,1.825036138615761727e-06,2.219512410954535412e-05,9.465616022226600382e-04
1.649999999999999800e-01,2.348362013310791811e-03,5.983840444340673219e-07,1.663251814068668733e-07,5.865380388157256961e-07,2.922865228058985754e-05,2.317782113765545163e-03
1.699999999999999845e-01,4.311045712186514951e-03,8.682419994389368108e-07,2.131724596809700422e-07,5.255788968369947506e-07,2.091739460454428151e-05,4.288521324226014092e-03
1.749999999999999889e-01,6.575350243461552772e-03,1.179598723519213225e-06,8.366267938089705239e-07,6.232447005574878272e-07,1.078207744537485008e-05,6.561928695798292105e-03
