energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
2.830000000000000293e-01,4.724726174763373088e+00,7.437461484753802015e-04,7.869405069950969669e-07,3.174350392628188312e-07,5.450887024384456104e-07,4.723980779150648956e+00
2.840000000000000302e-01,5.096007296031006106e+00,8.023874395178285995e-04,8.181132908996497685e-07,2.980356542293563504e-07,8.258673066031266249e-07,5.095202966575236303e+00
2.849999999999999756e-01,5.469036323015513013e+00,8.611307298898931983e-04,8.474428729679896880e-07,2.787899234996158283e-07,5.941847362482104768e-07,5.468173471868090552e+00
2.859999999999999765e-01,5.840787156684847936e+00,9.194713504412584159e-04,8.754919125425616742e-07,2.599246276861631959e-07,1.373031035452859550e-07,5.839866412614762581e+00
2.869999999999999774e-01,6.208102239676609457e+00,9.771389114511114249e-04,9.034266441329396898e-07,2.416607867903291211e-07,2.377650976528843200e-08,6.207123931901217695e+00
2.879999999999999782e-01,6.567732531404537610e+00,1.033818390754396438e-03,9.313668249941115643e-07,2.239884201499645581e-07,3.707783996585247107e-07,6.566697186880138482e+00
2.889999999999999791e-01,6.916385122836163468e+00,1.088908975744107667e-03,9.580845536009257897e-07,2.067476321635376914e-07,7.095009023003253088e-07,6.915294339527330969e+00
2.899999999999999800e-01,7.250773333531710385e+00,1.141636974586739562e-03,9.825089732202679085e-07,1.898872446654709287e-07,6.051613336491637928e-07,7.249629918999572098e+00
2.909999999999999809e-01,7.567663639279701648e+00,1.191387020097609472e-03,1.005017673396959620e-06,1.735565217834172853e-07,2.070216671870180147e-07,7.566470866663741468e+00
2.919999999999999818e-01,7.863919501187011107e+00,1.237839207302626580e-03,1.026803385906635856e-06,1.579375017050936354e-07,2.480927495818777596e-08,7.862680452429545497e+00
2.929999999999999827e-01,8.136546647410742850e+00,1.280752168437093285e-03,1.048240382398009060e-06,1.430633200160730703e-07,2.584906973469770621e-07,8.135264445447905501e+00
2.939999999999999836e-01,8.382741794205369246e+00,1.319683162105109164e-03,1.068448606556416937e-06,1.288457705464517128e-07,5.684864261506247283e-07,8.381420345262460714e+00
2.949999999999999845e-01,8.599940560526210476e+00,1.354006916822005080e-03,1.086497892209822420e-06,1.152368971973233512e-07,5.522513318601803240e-07,8.598584799623267827e+00
2.959999999999999853e-01,8.785858507647121840e+00,1.383206102724846530e-03,1.102499160197543068e-06,1.023009113562152380e-07,2.616161000096376702e-07,8.784473835128224550e+00
2.969999999999999862e-01,8.938524085965937616e+00,1.407066680668981684e-03,1.117201430960998872e-06,9.013321443838800236e-08,9.006375705333419414e-08,8.937115721886865316e+00
2.979999999999999871e-01,9.056307467221708762e+00,1.425548025014802735e-03,1.130881483345437723e-06,7.876546861144169925e-08,2.308573758208251632e-07,9.054880478692366452e+00
2.989999999999999880e-01,9.137948251628356999e+00,1.438515085849505042e-03,1.143114715418666602e-06,6.817443579202437961e-08,4.511835720310034519e-07,9.136508074069784158e+00
2.999999999999999889e-01,9.182579515794193625e+00,1.445677631939804985e-03,1.153530849324369827e-06,5.834929083521674669e-08,4.476244422927326283e-07,9.181132178657671616e+00
3.009999999999999898e-01,9.189742979769624398e+00,1.446798554967734969e-03,1.162274496002703195e-06,4.931327080165874848e-08,2.550369565845469745e-07,9.188294714589932966e+00
