energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
1.749999999999999889e-01,5.685793824346845052e-06,1.508834469633579987e-08,1.274308954569128952e-06,8.146419855579959193e-07,7.349316454285037660e-07,2.846822894094880224e-06
1.799999999999999933e-01,3.697374224598575025e-05,1.628556839066321781e-08,1.661849752859674036e-06,5.646604480006271872e-07,4.164010784717934763e-07,3.431454539826299399e-05
1.809999999999999942e-01,5.402786225554080836e-05,1.786487018914771443e-08,1.732382677709030821e-06,5.158212066730479891e-07,3.683334852056112716e-07,5.139346001576397337e-05
1.819999999999999951e-01,7.388784558934078186e-05,2.082871040446089349e-08,1.788856822415294541e-06,4.688722107105972861e-07,3.393140256761979706e-07,7.126997382013422998e-05
1.829999999999999960e-01,9.571101232785556609e-05,2.466604066729771430e-08,1.843135201018239036e-06,4.262579282531322043e-07,3.032746857801640269e-07,9.311367847213673646e-05
1.839999999999999969e-01,1.184778859563136128e-04,2.797785321815226048e-08,1.906156993550059611e-06,3.868518984607332511e-07,2.493047006691112332e-07,1.159075945104155606e-04
1.849999999999999978e-01,1.410262165895968041e-04,3.022064964019092312e-08,1.970762946308610412e-06,3.473204708180416301e-07,1.960229763306316083e-07,1.384818895464993180e-04
1.859999999999999987e-01,1.620740384288990132e-04,3.229884214034327388e-08,2.020774210960446881e-06,3.065839243307175323e-07,1.637742202245711969e-07,1.595506072312429381e-04
1.869999999999999996e-01,1.802900768978365109e-04,3.508072116659794930e-08,2.054304598514598689e-06,2.673725436492156597e-07,1.472892954330376543e-07,1.777860297390730562e-04
1.880000000000000004e-01,1.944156075182847034e-04,3.793216370633310589e-08,2.087409194170629510e-06,2.329157243201195826e-07,1.266374728098891389e-07,1.919307129632777311e-04
1.890000000000000013e-01,2.033769105379828340e-04,3.936577749082901229e-08,2.131896186718977878e-06,2.032481147574616594e-07,9.630298714949265095e-08,2.009060974718660723e-04
1.900000000000000022e-01,2.063500821010529540e-04,3.887328549031717274e-08,2.178440492174816697e-06,1.757085626817651738e-07,6.968683651051961625e-08,2.038873729241955470e-04
1.910000000000000031e-01,2.028124345861160042e-04,3.737361033387253079e-08,2.208816417784947207e-06,1.484540983440364326e-07,5.699322591520852661e-08,2.003607972337379417e-04
1.920000000000000040e-01,1.926247586280343247e-04,3.577113256708172126e-08,2.219969345010441798e-06,1.223254768314984272e-07,5.198551741443038560e-08,1.901947071562108693e-04
1.930000000000000049e-01,1.761227989048267794e-04,3.376536645120550005e-08,2.226847925355335935e-06,9.925090740497696054e-08,4.440735745909021613e-08,1.737185273481561701e-04
1.940000000000000058e-01,1.541568256980306931e-04,3.050251608721035654e-08,2.241636575507725171e-06,7.987378161575331821e-08,3.532531475302749155e-08,1.517694875100669867e-04
1.950000000000000067e-01,1.280639873022301073e-04,2.595214654497080733e-08,2.259001589482494993e-06,6.332640286396337216e-08,3.274333341660119181e-08,1.256829638299220768e-04
1.960000000000000075e-01,9.961745451941118141e-05,2.104948965209016646e-08,2.265936796759982787e-06,4.873535009790242224e-08,3.802298227019919225e-08,9.724370990063101357e-05
1.970000000000000084e-01,7.098160805764540328e-05,1.663209922012388966e-08,2.259688912507469884e-06,3.615108421294546357e-08,4.533147443542421132e-08,6.862380448726944121e-05
1.980000000000000093e-01,4.464341182652723872e-05,1.283897872273944139e-08,2.248778556578558337e-06,2.606322781219920310e-08,5.231143811363853415e-08,4.230341962530010215e-05
1.989999999999999825e-01,2.328176111068013969e-05,9.658777387731339060e-09,2.238929752656830215e-06,1.864000065874377672e-08,6.285786869121617134e-08,2.095167471128561775e-05
1.999999999999999833e-01,9.590452367554349629e-06,7.544413476619307252e-09,2.226169989717378297e-06,1.368565540252704861e-08,7.872168465281205143e-08,7.264330624305011667e-06
2.009999999999999842e-01,6.101646332658104037e-06,7.165101327409389777e-09,2.205505652353179769e-06,1.100378767923620718e-08,9.607374647735072030e-08,3.781898044820927658e-06
2.019999999999999851e-01,1.502130219061571860e-05,8.868577202562435895e-09,2.179565078199161177e-06,1.052824233652853526e-08,1.132816939630757129e-07,1.270905859891438981e-05
