# electron_energy,probability_density
6.037063174435022272e-01,1.145541340873024394e+00
6.042272345633112884e-01,1.133397069709267901e+00
6.046975080812933001e-01,1.121252798545511631e+00
6.052220424690373246e-01,1.108039205986843578e+00
6.057429605142156115e-01,1.093756331109507096e+00
6.062132331068285085e-01,1.079397062176733035e+00
6.067341511520066843e-01,1.065037793243958975e+00
6.072044237446195813e-01,1.049609222454394697e+00
6.077289590577328315e-01,1.033111330269919081e+00
6.081956143824107652e-01,1.016537083106248796e+00
6.087201496955239044e-01,9.999628164044571665e-01
6.092410677407021913e-01,9.823956223631916673e-01
6.097113403333150883e-01,9.647520733427314976e-01
6.102322583784932641e-01,9.471085047841498739e-01
6.107025309711061611e-01,9.283192403133402326e-01
6.112270662842193003e-01,9.096063698979685030e-01
6.117479834040284725e-01,8.908934994825968845e-01
6.122182569220104842e-01,8.710349331549979146e-01
6.127391666440722418e-01,8.511762716548129104e-01
6.127391740418195454e-01,8.511763863655197326e-01
6.132094398289213988e-01,8.323870163278442869e-01
6.137339751420345380e-01,8.126048440556826735e-01
6.142042477346474350e-01,7.916006013539772512e-01
6.147251648544564961e-01,7.717420350263779483e-01
6.152460828996347830e-01,7.519598432160947699e-01
6.157163554922476800e-01,7.321012964266168099e-01
6.162408908053608192e-01,7.110970537249113876e-01
6.167111643233428309e-01,6.913148619146284313e-01
6.172320814431520031e-01,6.714562955870289063e-01
6.177023549611340147e-01,6.515977487975512794e-01
6.182232720809430759e-01,6.317391824699517544e-01
6.187478073940562151e-01,6.118806161423524514e-01
6.192144627187342598e-01,5.920984438701909491e-01
6.197389980318473990e-01,5.722398775425916462e-01
6.202092706244602960e-01,5.534506326099036810e-01
6.207301886696384718e-01,5.335920662823043781e-01
6.212004612622513688e-01,5.148791958669326485e-01
6.217213793074296557e-01,4.961663254515609744e-01
6.222459146205427949e-01,4.785227568929794062e-01
6.227125699452207286e-01,4.597335119602914411e-01
6.232371052583339788e-01,4.420899434017095952e-01
6.237073778509467648e-01,4.255920512172342018e-01
6.242282958961250516e-01,4.079484826586524115e-01
6.246985684887379486e-01,3.913742354949824032e-01
6.252194856085470098e-01,3.748763433105064546e-01
6.257440209216602600e-01,3.583020961468364463e-01
6.262142944396422717e-01,3.428735253572723352e-01
6.267352115594513329e-01,3.274449350295868810e-01
6.272054850774333445e-01,3.130856660968126537e-01
6.277264021972424057e-01,2.988027912194763380e-01
6.281966757152245284e-01,2.844435222867021107e-01
6.287212101029684419e-01,2.712299492661556788e-01
6.292421281481467288e-01,2.580163567074874043e-01
6.297124007407596258e-01,2.447264091696249588e-01
6.302333187859379127e-01,2.326585125231844520e-01
6.307035913785508097e-01,2.205142413594279316e-01
6.312245094237289855e-01,2.083699701956714390e-01
6.317490447368421247e-01,1.973713754060208159e-01
6.322193173294550217e-01,1.863727806163701928e-01
6.327402353746333086e-01,1.764435072216319345e-01
6.332105079672462056e-01,1.665142338268925937e-01
6.337314260124243814e-01,1.565849408940324095e-01
6.342016986050372784e-01,1.477249693560835075e-01
6.347262339181505286e-01,1.389413723354505914e-01
6.352471510379595898e-01,1.300814007975016617e-01
6.357174245559416015e-01,1.223671251717805691e-01
6.362383416757506627e-01,1.146528300079375506e-01
6.367086151937326743e-01,1.069385543822164580e-01
6.372295323135418466e-01,1.002935610751633372e-01
6.376998058315238582e-01,9.257928544944223070e-02
6.382243402192678827e-01,8.707998805461693304e-02
6.387452582644460586e-01,8.051138880300172385e-02
6.392155308570589556e-01,7.493571689086041265e-02
6.397364489022372425e-01,6.943641949603510111e-02
6.402067214948501395e-01,6.508281801343761275e-02
6.407276395400283153e-01,5.950714610129629462e-02
6.412015294005761756e-01,5.515352508057744241e-02
6.417224474457544625e-01,5.072354908066394746e-02
6.422433654909326384e-01,4.743924945485634981e-02
6.427136380835455354e-01,4.300925391682092896e-02
6.432381733966586745e-01,3.972495429101333131e-02
6.437048287213366082e-01,3.636428014788972013e-02
6.442293640344498584e-01,3.307998052208212247e-02
6.446996366270627554e-01,3.086498275306441205e-02
6.452205546722409313e-01,2.758068312725681440e-02
6.457414717920499925e-01,2.536568535823910397e-02
6.462117453100321152e-01,2.315070712734331598e-02
6.467362806231452543e-01,2.093570935832505045e-02
6.472065532157581513e-01,1.872071158930789861e-02
6.477274703355672125e-01,1.765140973251800791e-02
6.481977438535493352e-01,1.543641196350029922e-02
6.487186609733583964e-01,1.436711010670985340e-02
6.492431962864715356e-01,1.215211233769269983e-02
6.497098516111494693e-01,1.100643596358624569e-02
6.502343869242626084e-01,9.937114568674991141e-03
6.507046604422446201e-01,8.867812711885100438e-03
6.512255775620537923e-01,7.722136337778646303e-03
6.517501128751669315e-01,6.652814942867390884e-03
6.522167681998449762e-01,6.652814942867390884e-03
6.527413035129581154e-01,5.507138568761492728e-03
6.532115761055710124e-01,4.437817173849682197e-03
6.537324941507491882e-01,4.437817173849682197e-03
6.542027667433620852e-01,3.292140799743783607e-03
6.552446019083494333e-01,3.292140799743783607e-03
6.557148754263314450e-01,2.222838942953893771e-03
6.567096833320575922e-01,2.222838942953893771e-03
6.572306004518665423e-01,1.077143030726073836e-03
