# electron_energy,probability_density
5.262125832920974133e-01,1.818973720988343194e-05
5.281985816058651917e-01,1.818973720988343194e-05
5.302352244410847293e-01,1.818973720988343194e-05
5.322212229771084990e-01,1.818973720988343194e-05
5.342036040212579939e-01,1.087511045291529848e-03
5.362402468567551983e-01,1.087511045291529848e-03
5.382226279015523973e-01,3.302508551858682456e-03
5.402086255115005065e-01,5.517486509291551038e-03
5.422452690533158259e-01,8.801785763084036401e-03
5.442312675865634830e-01,1.430108263285707199e-02
5.462136477074134300e-01,2.094605551940941293e-02
5.481996462425118288e-01,3.087534730657767040e-02
5.502362900010309144e-01,4.301961706094854093e-02
5.522186701237316031e-01,5.951748782415414163e-02
5.542046684374992704e-01,8.044535366301376611e-02
5.562413121960184670e-01,1.047338977472125343e-01
5.582236923196445266e-01,1.355910310317784973e-01
5.602096908519668128e-01,1.698088670223275587e-01
5.622463346104858983e-01,2.105952726797427621e-01
5.642287147350373289e-01,2.568809843383039193e-01
5.662147130478796253e-01,3.086660076293032406e-01
5.681970940966560857e-01,3.649573660181886781e-01
5.702337369318755123e-01,4.256023403153399443e-01
5.722197354614217968e-01,4.906009351548279995e-01
5.742021162971957526e-01,5.567452061849852418e-01
5.762387593472684255e-01,6.251044552194668924e-01
5.782247578758892281e-01,6.934637284410599678e-01
5.802107559729531294e-01,7.607536757595766419e-01
5.822437815441067199e-01,8.258286497078395350e-01
5.842297800764290061e-01,8.853279282417432228e-01
5.862121609066507366e-01,9.393279296347577523e-01
5.881981594371223920e-01,9.867593323443439868e-01
5.902348024945979210e-01,1.025330764611966483e+00
5.922208005824081134e-01,1.054049284316469492e+00
5.942031816339605754e-01,1.072762172072852183e+00
5.962398246877347319e-01,1.079407144996527013e+00
5.982258229968755447e-01,1.076046466614421604e+00
6.002082040493071924e-01,1.060617897782101027e+00
6.022448471040529050e-01,1.035260036906662462e+00
6.042272279305732630e-01,9.999729234849494830e-01
6.062132262452663012e-01,9.547564986624594852e-01
6.081992247738872148e-01,9.018258186556790124e-01
6.102358676155842376e-01,8.423265204769058156e-01
6.122182486615845853e-01,7.783972422860298002e-01
6.142042471976083551e-01,7.100379932710859654e-01
6.162408900300516690e-01,6.406094230066746720e-01
6.182232708565720269e-01,5.700351522277160576e-01
6.202092693925957967e-01,5.016758882742640147e-01
6.222459122250392216e-01,4.355316321630772758e-01
6.242282932738156820e-01,3.726716603085600821e-01
6.262142918070633391e-01,3.142416640157331686e-01
6.281966728539889466e-01,2.613109793553449745e-01
6.302333154660270109e-01,2.138795765676057559e-01
6.322193140020508917e-01,1.720238450266529939e-01
6.342016950508272410e-01,1.355910310317784973e-01
6.362383378897481512e-01,1.047338977472125343e-01
6.382243364165183230e-01,7.937605184935803138e-02
6.402067165401443827e-01,5.951748782415414163e-02
6.422433603014395809e-01,4.301961706094854093e-02
6.442293586142818773e-01,2.980602603757223634e-02
6.462117396667597102e-01,2.094605551940941293e-02
6.481977372683794814e-01,1.323178078012512970e-02
6.502343810296746796e-01,8.801785763084036401e-03
6.522167611523754793e-01,5.517486509291551038e-03
6.542027596819215418e-01,3.302508551858682456e-03
6.562394032265129740e-01,1.087511045291529848e-03
6.582217842762148052e-01,1.087511045291529848e-03
