# electron_energy,probability_density
5.337333344875212493e-01,1.820465227198895473e-05
5.342036070801341463e-01,1.087512628401966427e-03
5.367105236688296532e-01,1.087512628401966427e-03
5.372314407886387144e-01,2.233202679192709556e-03
5.382226314264297873e-01,2.233202679192709556e-03
5.387471667395429265e-01,3.302504535983154937e-03
5.392174402575250491e-01,3.302504535983154937e-03
5.397383573773341103e-01,4.448200448210419544e-03
5.402086299699470073e-01,4.448200448210419544e-03
5.407295480151251832e-01,5.517502305000308513e-03
5.411998206077381912e-01,6.586804161790198349e-03
5.417243559208513304e-01,7.732500074018018067e-03
5.422452739660295062e-01,7.732500074018018067e-03
5.427155465586424032e-01,8.801801930807907903e-03
5.432364646038206901e-01,9.947478304914362038e-03
5.437067371964335871e-01,1.216247607393151561e-02
5.442276552416117630e-01,1.323177793072196143e-02
5.446979278342246600e-01,1.437747384294922430e-02
5.452224631473377991e-01,1.651607755652955908e-02
5.457433802671469714e-01,1.766177346875682369e-02
5.462136537851289830e-01,1.987677123777453411e-02
5.467381890982421222e-01,2.209174946867087722e-02
5.472048444229200559e-01,2.423037272037202247e-02
5.477293797360331951e-01,2.644537048938973289e-02
5.481996523286460921e-01,2.866034872028607600e-02
5.487205703738243789e-01,3.202104240153105102e-02
5.492414874936334401e-01,3.530534202733864868e-02
5.497117600862463371e-01,3.752033979635635563e-02
5.502362953993594763e-01,4.187394127895384399e-02
5.507029507240375210e-01,4.523461542207745517e-02
5.512274860371506602e-01,4.851891504788505283e-02
5.517484040823288360e-01,5.294891058592047367e-02
5.522186766749417330e-01,5.737888658583396861e-02
5.527432119880549832e-01,6.173250760655337593e-02
5.532098673127329169e-01,6.616248360646687088e-02
5.537344026258460561e-01,7.166178100129218242e-02
5.542046752184589531e-01,7.716107839611749397e-02
5.547255932636372400e-01,8.273675030825880516e-02
5.552465113088154158e-01,8.930534955987401435e-02
5.557167839014283128e-01,9.480464695469931202e-02
5.562377010212373740e-01,1.014496207236305209e-01
5.567079745392194967e-01,1.091638963493516135e-01
5.572325098523326359e-01,1.158088896564047482e-01
5.577027824449455329e-01,1.235231652821258408e-01
5.582237004901237087e-01,1.312374604459683181e-01
5.587446176099328810e-01,1.400210574666012064e-01
5.592148911279148926e-01,1.477353330923228680e-01
5.597394255156589171e-01,1.565953046302717699e-01
5.602096990336409288e-01,1.665245975631319542e-01
5.607306086186760741e-01,1.763774609349182121e-01
5.607306161534499900e-01,1.763774964405547541e-01
5.612008818460921811e-01,1.863067378465190493e-01
5.617217989659012423e-01,1.962360112412578628e-01
5.622463342790143814e-01,2.073109805482244716e-01
5.627166068716272784e-01,2.183095753378750947e-01
5.632375249168055653e-01,2.293081701275257178e-01
5.637077975094184623e-01,2.414524412912816831e-01
5.642287155545966382e-01,2.535967124550381757e-01
5.646989881472095352e-01,2.657409836187947239e-01
5.652235234603226743e-01,2.778852547825512165e-01
5.657444415055009612e-01,2.910988278030982035e-01
5.662147140981138582e-01,3.043124203617659229e-01
5.667356321432920341e-01,3.186716892945401503e-01
5.672059047359050421e-01,3.329545641718764659e-01
5.677304400490181813e-01,3.473138331046506933e-01
5.681970953736961150e-01,3.615967275201089071e-01
5.687216306868092541e-01,3.759559964528825793e-01
5.692425478066183153e-01,3.913845672424466904e-01
5.697128213246004380e-01,4.068131380320108015e-01
5.702337384444094992e-01,4.222417088215749126e-01
5.707040119623915109e-01,4.388159755233668746e-01
5.712285472755046500e-01,4.542445463129309857e-01
5.717494643953138223e-01,4.708187934766009941e-01
